iso,first_best,first_best_Alt,second_best,second_best_Alt,third_best,third_best_Alt
AUS,0.903890879054248,0.669206932192856,0.210090461892709,0.242688818742742,0.140529618535545,0.233752008777199
AUT,1.31150114144198,1.13188161663504,0.65749842683529,0.783627073610282,0.44618523029023,0.658887233050298
BEL,1.30882883432923,1.2436175708753,0.685098001878415,0.891598514376213,0.502129665968143,0.752422787902662
BGR,2.01426660617858,1.6140262344271,0.625904728199367,0.57963483645187,0.524542455756483,0.578236320021586
BRA,1.86926836578287,1.44336537110428,0.225892342868206,0.287252790316073,0.169102205849403,0.265470282113389
CAN,1.71608251614697,1.25117456911008,0.574482548888677,0.478312235311162,0.446761778421356,0.393408501699621
CHE,1.04374218244589,0.77592581202055,0.561729062389049,0.575932934018453,0.46431313005475,0.537545400422768
CHN,1.7602251889975,1.30340866062915,0.265309239092071,0.260093520751181,0.238713888243036,0.235530738394751
CYP,1.7466672031897,1.25647604846022,0.681828947291718,0.53975793388239,0.614223670278324,0.544827370648981
CZE,1.67952112517109,1.5986204548609,0.880814189404022,1.11993893863882,0.544276941551036,0.884031885040071
DEU,1.71165522668768,1.45046433318896,0.780190866460617,0.885267908214193,0.489993517665166,0.729721155180063
DNK,1.2211668308076,0.974953845632198,0.57995083020117,0.626136043147318,0.476741577240403,0.581436172269112
ESP,1.53490634554909,1.18628928291227,0.520731289553211,0.572758703895881,0.386161864324319,0.482758415621887
EST,1.18250094088412,0.981657737640051,0.617369621497144,0.682876952213096,0.448940617054783,0.614198090281337
FIN,1.40010798010877,1.13650266366927,0.538127429626511,0.295197299828698,0.251482316382057,0.552648368886155
FRA,1.20439640384458,0.97910475900016,0.450477710408848,0.515977384292055,0.338186156843401,0.424360563740045
GBR,1.09243743409546,0.815561227659845,0.475156560057077,0.466205791591556,0.415697850427699,0.396825055707439
GRC,1.81993788530481,1.31388214184884,0.590106021803116,0.505580202200528,0.527599748223095,0.442455954320176
HRV,1.0331970952723,0.739744473610826,0.554196954116049,0.560132609878194,0.449075339076965,0.517202296297015
HUN,2.2492972948104,2.16443509501225,1.06300909318637,1.36427574086702,0.731957733742616,1.04128962908248
IDN,1.99648181031324,1.51990160993392,0.358419713630176,0.377275718978476,0.26489708943549,0.348014626639537
IND,1.80772279164894,1.32471173660906,0.349829587903616,0.323616160250384,0.31065240597099,0.281852404470984
IRL,0.858134874782079,0.925044877515768,0.680707574525519,0.877001486180551,0.529328749136093,0.854991098826718
ITA,1.50116682297543,1.18955886137539,0.459121923206562,0.52574895479105,0.260042727456478,0.476878300553563
JPN,1.48150385735681,1.14135982142873,0.319581670399915,0.396240469367326,0.221079598140639,0.317943237590468
KOR,2.12186515301498,1.82847374447184,0.653843178906444,0.818371064143242,0.493040259234534,0.686604537386737
LTU,2.50097076530573,2.00011543775396,0.932101409728281,0.893267532847286,0.761873391309331,0.784662849859319
LUX,0.931920337897307,1.10038131957468,0.811333116685198,1.06540918266913,0.784241538369757,1.04186725492281
LVA,0.913307974836486,0.608820352237927,0.539023328559352,0.477807918742412,0.441748611285497,0.442620832301976
MEX,2.23627981275345,1.85752637264671,0.598979251173959,0.702049192997434,0.43800543277237,0.579674740402192
MLT,1.35109295549083,1.13224440653688,0.920304621366119,0.922179669415502,0.82337954601861,0.894958784760691
NLD,1.35469179456145,1.11397591049238,0.662451551329379,0.453151542411878,0.540107879985641,0.635513738121896
NOR,1.1889392990422,0.969250797637122,0.402981060717567,0.508687992108414,0.266468511925266,0.46937293612741
POL,2.1885266342452,1.7281518263071,0.759134954313101,0.756449722107666,0.651558882721637,0.649965591470059
PRT,2.03923576733351,1.50096006679306,0.740045735260075,0.638259556768528,0.651003406120165,0.557126827621723
ROU,2.04601103254642,1.51240000058932,0.769717720738261,0.67791468191265,0.674548599888913,0.581842692399182
RUS,2.393980082726,1.82911226824467,0.321341697468158,0.304196413453361,0.273547919422379,0.271489615309317
SVK,2.00916838716101,1.81903925524154,1.05916654632543,1.21034374378828,0.788299949134097,0.912969980678469
SVN,1.42274697225306,1.18266848677155,0.871785359528343,0.596418335840054,0.669130164762199,0.805571574675779
SWE,1.20650165993965,0.993381406515081,0.617035207032601,0.682949672656141,0.453280106932064,0.577726137161205
TUR,1.43345944351401,1.14198489707982,0.460547276889933,0.581489993120909,0.322141304948032,0.508724768825752
TWN,2.18181427488875,1.79724845430409,0.68976106138483,0.738933736633363,0.560129415534605,0.65209765962726
USA,1.52828688006581,1.06853954217025,0.315656174206724,0.243225324672425,0.267515392317197,0.203815082002334
