Row,rho,first_best,second_best,third_best
Artificial 2,0.199405202260373,1,0.781604283420949,0.0907111524339633
Artificial 1,-0.352468042849589,0.9,0.582304616105141,0.0795293194625319
Estimated,-0.6451385,1,0.336686168813838,0.29495455149569
