parm,estimate,min95,max95
"-4",-.00004879,-.00512303,.00502544
"-3",-.00004879,-.00512303,.00502544
"-2",-.00004879,-.00512303,.00502544
"0",.17754984,.07583504,.27926463
"-1",0,,
