dW_MPEC,dW_Theory,RunTime_MPEC,RunTime_Theory
6.77865311410322,6.77860956010543,89.516057717,2.535060777
9.25027489085226,9.25023665203846,54.168205942,2.518654321
9.26818332863242,9.27016322048397,141.332590726,2.918889019
6.71734836938518,6.74573549448005,74.640146276,2.027198729
7.2484536374493,7.24843848601713,71.624512862,2.310979457
7.53665871204678,7.53662123006531,62.842674111,2.026319386
11.9733094521643,11.9752026016148,217.234606478,2.774390993
6.44831768311991,6.58697623764075,57.176458515,2.243327177
7.89905607334289,7.9041397555065,113.863509103,2.279424945
9.18064332656341,9.75836763689619,432.637308789,3.271691962
8.60691053530203,8.6068924099818,265.538276521,2.255751908
6.43572743986514,6.45753163212728,60.256126736,2.215387238
9.97618700404361,10.0183327784372,238.220699637,2.499079269
9.25210670882088,9.25203180273415,49.446104033,2.250124578
7.47695462713491,7.47693183325653,137.610799204,2.261717699
10.2171725085545,10.4613443443827,442.650831875,2.535575091
7.34575878060768,7.34573007520498,98.344096316,2.252865175
7.65418222053156,7.65415787968746,38.278886794,1.997181858
5.76305056660387,5.76301056610133,80.290760323,2.286514893
10.0707699570577,10.0843989890394,203.106694562,3.044767302
6.52989205501164,6.5298608982175,37.350204939,2.025911274
10.5658933077097,-99.9999999999993,168.541169721,6.258775441
8.48361627891066,8.69143081287866,138.963780527,2.525465835
6.94433216482977,6.94427254207026,73.455648273,2.041036346
7.15042317084504,7.1503734575084,177.368152232,1.991088752
7.53488280535424,7.58354754682038,154.168445528,2.282227019
7.42332114085889,7.42329676124043,42.22503174,2.027832349
7.28896567241153,8.11005238887164,95.262492923,2.238478624
8.11371523446676,8.1611660615478,78.840923813,2.270333824
10.4111862723044,10.4111675599911,239.232388132,2.540379339
7.55411384984801,7.58897244564212,147.598169467,3.263483724
8.67477586418675,9.22367049232393,425.407117171,4.659811229
6.03123314314009,6.03120028211528,47.597686207,2.005279097
8.98967566123028,8.98965272968768,38.996473191,1.989440953
9.20008469697615,9.20004851991756,257.14542402,2.472307898
6.596924941885,6.59688774351326,97.737410471,2.021424397
5.44396849295861,5.51621845334975,125.98172335,2.528154554
7.26934436883286,7.26930352373576,32.349940594,2.116243436
9.02664614809285,9.0265271579407,80.963061031,2.08346091
7.66437634462471,7.66435076858187,455.605738855,2.252296708
8.95251916525621,9.06278236453548,433.866149847,2.543902625
7.22046601837885,7.22044919562095,57.271178866,2.231903616
9.30462499273659,9.3046035113937,203.875375134,2.512214051
10.5093097177585,10.5839533164588,264.403546742,3.054331458
7.57050350280166,7.57043785520082,41.955336586,1.73558
8.60288819436474,8.60286323315993,153.977647118,2.27519569
8.28858741616343,8.3291557282622,154.345027276,3.035901079
6.81813448983761,6.81809947618766,93.311907701,2.259833706
9.77556785427387,9.77554618527818,332.728244155,2.604417232
8.81456263278118,8.81452551184654,461.326618609,2.507928384
