C:\CESS\Experimenters\Avoyan\Data\180507_1654.sbj,,,,,,,,,,,,
Subject,1,2,3,4,5,6,7,8,9,10,11,12
client,lab4,lab8,lab1,lab3,lab10,lab12,lab2,lab9,lab5,lab6,lab7,lab11
sex,Male,Male,Female,Female,Male,Male,Female,Female,Female,Female,Female,Female
Major,other,other,math,other,other,other,other,other,humanities,humanities,computer science,economics
Other,Neural Science,electrical engineering,,global public health/ anthropolgy co-major,Film and Television,Psychology,film and tv,Biology,,,,
GPA,2,-1,3.38,3.2,3.8,3.5,-1,3.79,3.9,3.8,3.9,2
Game Theory,No,No,No,No,No,No,No,No,Yes,No,No,No
Comment,Interesting how I was the only person who chose 7 at first,,,,,,,,,,,
