I:\Z-Tree 4.1.5\210324_1613.sbj,,,,,,
Subject,1,2,3,4,5,6
client,Table1,Table2,Table3,Table4,Table5,Table6
sex,Female,Male,Female,Female,Male,Male
Major,other,other,other,other,computer science,other
Other,business,Finance and Economic Consulting,sports marketing and management,music,,Information Systems/Informatics
GPA,3.6,3.66,3.5,3.6,3.65,3.57
Game Theory,No,No,No,No,No,No
Comment,,,,,I'm suprised by the distrust people have amoung peers.,
