C:\CESS\Experimenters\Avoyan\Data\180413_1257.sbj,,,,,,,,,,,,
Subject,1,2,3,4,5,6,7,8,9,10,11,12
client,lab2,lab4,lab6,lab12,lab5,lab7,lab9,lab11,lab1,lab3,lab8,lab10
sex,Female,Female,Male,Female,Female,Female,Female,Female,Male,Female,Female,Female
Major,math,other,physics/chemistry,humanities,other,economics,economics,humanities,other,other,humanities,other
Other,,film/television,,,Photography,,,,Biology,Global Public Health/Anthropology,,Applied Psychology and Global Public Health
GPA,3.4,3.7,3.9,3.4,-1,3.5,3.6,3.76,3.6,3.4,3.75,3.85
Game Theory,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No
Comment,,,,,,,,,,,,
