C:\CESS\Experimenters\Avoyan\Data\180426_1510.sbj,,,,,,,,,,,,
Subject,1,2,3,4,5,6,7,8,9,10,11,12
client,lab2,lab1,lab4,lab12,lab11,lab9,lab6,lab10,lab5,lab7,lab8,lab3
sex,Female,Female,Female,Female,Male,Male,Female,Male,Female,Male,Female,Female
Major,other,economics,humanities,economics,other,other,physics/chemistry,other,other,other,humanities,economics
Other,Film&TV,,,,Film & Television Production,Game Design,,Music Education,"enivronmental studies, psychology",Math/Economics Joint Major,,
GPA,3.7,3,3.42,-1,3.77,-1,4,3.75,3.9,3.75,-1,3.4
Game Theory,No,No,No,Yes,No,No,No,No,No,No,No,Yes
Comment,,this made me mad,,,,,,,,,,
