I:\Z-Tree 4.1.5\210421_1656.sbj,,,,,,
Subject,1,2,3,4,5,6
client,Table1,Table2,Table3,Table4,Table5,Table6
sex,Male,Male,Female,Male,Male,Male
Major,foreign language,other,other,physics/chemistry,other,humanities
Other,,Financial Management,Business,,marketing,
GPA,3.9,2.5,3.47,3.5,3.64,4
Game Theory,No,No,No,No,No,No
Comment,"I figured out during the explanation that if we all chose 7 the whole time, we would all make the maximum amount of money. The fact that others did not grasp that concept was immensely frustrating. I do not understand why I should be penalized for the poor decisions of the other players.",,,,,
