C:\CESS\Experimenters\Avoyan\Data\160224_1426.sbj,,,,,,,,,,,,
Subject,1,2,3,4,5,6,7,8,9,10,11,12
client,lab6,lab4,lab1,lab7,lab10,lab9,Lab2,lab3,lab8,lab11,lab12,lab5
sex,Female,Female,Female,Female,Male,Male,Male,Male,Male,Male,Female,Female
Major,other,other,other,other,other,other,humanities,economics,humanities,other,other,humanities
Other,Clinical Nutrition,Social Work,Politics,psychology,Electrical engineerng,Neural Science,,,,Neural Science and Psychology,Undecided- Liberal Studies Program,
GPA,3.56,3.5,-1,2.9,3,3.73,-1,3.94,3.3,3.28,-1,3.5
Game Theory,No,Yes,No,No,No,No,No,Yes,No,No,No,No
Comment,,This experiment is smart.,,I enjoyed the experiment. ,,,,,,,,would love to see your paper once it is finished.
