C:\CESS\Experimenters\Avoyan\Data\180720_1409.sbj,,,,,,,,,,,,
Subject,1,2,3,4,5,6,7,8,9,10,11,12
client,lab1,lab2,lab4,lab3,lab5,lab6,lab7,lab8,lab9,lab11,lab12,lab13
sex,Female,Male,Male,Female,Female,Female,Male,Female,Female,Male,Male,Female
Major,economics,computer science,economics,economics,other,other,economics,other,humanities,physics/chemistry,other,computer science
Other,,,,,construction management,drama,,computer engineering,,,business,
GPA,3.8,3.2,-1,1,3.88,3.8,-1,3,3.67,3.73,3.7,3.5
Game Theory,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No
Comment,,,,it has a problem that maybe the player was not sure about the rule. leading to errors.,,,cool experiment,,,,,
