I:\Z-Tree 4.1.5\201027_1445.sbj,,,,,,
Subject,1,2,3,4,5,6
client,Table1,Table2,Table3,Table4,Table5,Table6
sex,Male,Male,Female,Male,Male,Female
Major,foreign language,other,other,other,other,other
Other,,Public Policy,"Speech, Language, and Hearing Science",Finance,Finance,business
GPA,3.98,3.73,4,3.37,3.35,3.9
Game Theory,No,No,No,No,No,No
Comment,,,,,,
