C:\CESS\Experimenters\Avoyan\Data\180605_1112.sbj,,,,,,,,,,,,
Subject,1,2,3,4,5,6,7,8,9,10,11,12
client,lab1,lab2,lab3,lab5,lab6,lab13,lab14,lab15,lab16,lab17,lab18,lab4
sex,Male,Male,Male,Female,Male,Female,Female,Female,Male,Female,Female,Female
Major,economics,humanities,computer science,other,other,other,other,other,other,economics,economics,math
Other,,,,Drama,anthropology and environmental studies,math and econ,drama,psychology,Music Business,,,
GPA,3.68,3.64,3.74,3.63,3.42,3.6,3.81,-1,3.4,3.08,3.88,3.45
Game Theory,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No
Comment,Are you trying to study irrational decisions?,,,Fun!,,,,,,,,
