I:\Z-Tree 4.1.5\201104_1053.sbj,,,,,,
Subject,1,2,3,4,5,6
client,Table1,Table2,Table3,Table4,Table5,Table6
sex,Male,Female,Male,Female,Male,Male
Major,other,other,other,other,other,physics/chemistry
Other,Finance,Business,Finance & International Business,Marketing,Music,
GPA,-1,3.49,3.59,3.74,3.92,3.66
Game Theory,No,No,No,No,No,No
Comment,,,,,,
