C:\CESS\Experimenters\Avoyan\Data\180413_1711.sbj,,,,,,,,,,,,
Subject,1,2,3,4,5,6,7,8,9,10,11,12
client,lab2,lab12,lab10,lab7,lab4,lab8,lab1,lab5,lab9,lab11,lab6,lab3
sex,Female,Female,Female,Male,Male,Female,Female,Male,Male,Female,Male,Female
Major,other,other,economics,other,physics/chemistry,math,computer science,economics,humanities,other,other,economics
Other,journalism ,biology,,photography,,,,,,Business,Biology,
GPA,-1,3.7,3.63,-1,3.5,3.64,-1,3.9,3.8,3.85,3.9,4
Game Theory,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes
Comment,,,,,,,no,,,,,N/A
