I:\Z-Tree 4.1.5\210405_1640.sbj,,,,,,
Subject,1,2,3,4,5,6
client,Table1,Table2,Table3,Table4,Table5,Table6
sex,Male,Female,Male,Female,Male,Female
Major,math,other,other,humanities,foreign language,other
Other,,informatics,international Studies,,Criminal Justice/Sociology,Audio Engineering
GPA,4,3.8,3.25,3.9,2.76,3.9
Game Theory,Yes,No,No,No,No,No
Comment,,,,Why didn't everyone just choose 7?,This was a fun experiment. I am curious about the results and what exactly you're studying.\r\n,
