C:\CESS\Experimenters\Avoyan\Data\180402_1410.sbj,,,,,,,,,,,,
Subject,1,2,3,4,5,6,7,8,9,10,11,12
client,lab11,lab10,lab7,lab2,lab9,lab6,lab12,lab5,lab1,lab4,lab3,lab8
sex,Male,Female,Male,Male,Male,Female,Female,Male,Female,Male,Male,Male
Major,other,math,computer science,other,other,other,economics,computer science,economics,computer science,computer science,computer science
Other,Mechatronics and Robotics,,,mechatronics and robotics,Finance,electrical engineerimg,,,,,,
GPA,3.76,3.74,3.8,3.43,3.8,3.23,3.93,3.9,3.8,3.9,3.8,3.23
Game Theory,No,No,No,No,No,No,No,No,Yes,Yes,No,No
Comment,,,,,,,,,we briefly touched on it in microeconomics,,For selection of number click should be there rather than hover.,
