C:\CESS\Experimenters\Avoyan\Data\180410_1715.sbj,,,,,,,,,,,,
Subject,1,2,3,4,5,6,7,8,9,10,11,12
client,lab1,lab2,lab4,lab3,lab7,lab9,lab13,lab14,lab10,lab11,lab12,lab5
sex,Male,Female,Male,Female,Female,Male,Male,Male,Female,Male,Male,Female
Major,other,other,economics,humanities,humanities,other,other,economics,humanities,other,other,other
Other,Film and Television,philosophy,,,,game design,"Sociology, Politics",,,Drama,drama,Applied Psychology
GPA,3.5,3.2,3.61,3.4,-1,-1,3.2,3.3,-1,3.62,3.4,3
Game Theory,No,No,No,No,No,No,Yes,No,No,No,No,No
Comment,,,,,,I don't know if this was intentional but sometimes id mash on a button to try and makeit change and even when the blip came for the switch opportunity my line stayed where it was. So unless there's more to this than I'm aware ,,,,,,
Comment 1,,,,,,"which i'm sure there is, I'd bug fix ",,,,,,
