C:\CESS\Experimenters\Avoyan\Data\180402_1242.sbj,,,,,,,,,,,,
Subject,1,2,3,4,5,6,7,8,9,10,11,12
client,lab2,lab6,lab1,lab12,lab10,lab5,lab7,lab9,lab11,lab4,lab3,lab8
sex,Female,Male,Male,Female,Male,Male,Male,Male,Female,Male,Male,Male
Major,computer science,other,math,computer science,computer science,other,computer science,humanities,computer science,computer science,computer science,computer science
Other,,Psychology,,,,dramatic writing,,,,,,
GPA,3.23,3.3,3.45,3.43,3.23,3.93,3.43,3.8,3.6,3.47,3.56,4
Game Theory,No,No,Yes,No,No,No,No,No,No,No,No,No
Comment,,,,,,,,,,,,
