180402_1606,1,globals,Period,NumPeriods,RepeatTreatment,numSubjects,groupSize,numGroups,TRUE,FALSE,Choices,prof,minChoice,fee,rate,a,b,c,choice1,choice2,choice3,choice4,choice5,InfoTime,Time,LastPeriod,groupID,groupIDs[1],groupIDs[2],groupIDs[3],groupIDs[4],groupIDs[5],groupIDs[6],groupIDs[7],groupIDs[8],groupIDs[9],groupIDs[10],groupIDs[11],groupIDs[12],subjectID,pointID,randID,id,au[1],au[2],au[3],au[4],au[5],au[6],au[7],au[8],au[9],au[10],au[11],au[12],Role[1],Role[2],Role[3],Role[4],Role[5],Role[6],Role[7],Role[8],Role[9],Role[10],Role[11],Role[12],i,g
180402_1606,1,globals,2,10,0,12,6,2,1,0,0,0,0,8,1,0.2,0.04,0.18,0,0,0,0,0,200,1000,10,3,2,2,1,1,2,1,1,2,1,1,2,2,13,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,3,4,4,5,6,5,6,13,1
180402_1606,1,subjects,Period,Subject,Group,Profit,TotalProfit,Participate,payoff[1],payoff[2],payoff[3],payoff[4],payoff[5],payoff[6],payoff[7],payoff[8],payoff[9],payoff[10],GroupID,firstGroupID,role,button,Input11,Input12,Input13,Input14,Input15,x,y,TimeContinueComprehensionPayoffsOK,TimeContinueGroupRandomizationMessageOK,r0,r1,r2,r3,r4,r5,ready,Choices,TimeOKMainStageOK,minChoice,prof,payment,choice0,choice1,choice2,choice3,choice4,choice5,TimeContinueInfornationOK,TimePlotSelectComprehensionPayoffsOK,TimePlotSelectMainStageOK,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,2,1,1,0,0,0,0,1.6,0,0,0,0,0,0,0,0,2,2,1,0,-,-,-,-,-,2.218934911,-32.1969697,-,-,1,3,4,7,9,10,1,4,998,4,0.82,1.6,4,5,5,7,5,7,200,-,1000,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,2,2,1,0,0,0,0,1.56,0,0,0,0,0,0,0,0,1,1,1,0,-,-,-,-,-,10.65088757,-31.81818182,-,-,2,5,6,8,11,12,1,5,996,4,0.78,1.56,5,5,7,6,4,6,199,-,999,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,2,3,1,0,0,0,0,1.6,0,0,0,0,0,0,0,0,2,2,2,0,-,-,-,-,-,13.23964497,-32.1969697,-,-,3,1,4,7,9,10,1,5,994,4,0.78,1.6,5,4,5,7,5,7,193,-,997,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,2,4,1,0,0,0,0,1.52,0,0,0,0,0,0,0,0,2,2,3,0,-,-,-,-,-,9.097633136,-27.84090909,-,-,4,1,3,7,9,10,1,5,998,4,0.78,1.52,5,4,5,7,5,7,185,-,1000,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,2,5,1,0,0,0,0,1.6,0,0,0,0,0,0,0,0,1,1,2,0,-,-,-,-,-,16.86390533,-24.43181818,-,-,5,2,6,8,11,12,1,5,992,4,0.78,1.6,5,5,7,6,4,6,195,-,993,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,2,6,1,0,0,0,0,1.4,0,0,0,0,0,0,0,0,1,1,3,0,-,-,-,-,-,35.13313609,-27.27272727,-,-,6,2,5,8,11,12,1,7,997,4,0.7,1.4,7,5,5,6,4,6,193,-,999,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,2,7,1,0,0,0,0,1.4,0,0,0,0,0,0,0,0,2,2,4,0,-,-,-,-,-,42.82544379,-30.87121212,-,-,7,1,3,4,9,10,1,7,998,4,0.7,1.4,7,4,5,5,5,7,197,-,99999,,,,,,,,,,,,,,,,,
